project_id,project_name,department,status,start_date,end_date,budget,actual_cost,project_manager_id,priority,region,budget_variance,is_over_budget,duration_days,budget_utilisation_pct,status_category,risk_level
PRJ0001,MLOps Platform,Sustainability,Completed,2023-06-13,2023-12-01,1200000.0,907809.0,EMP0126,Medium,Dubai,-292191.0,False,171.0,75.65075,Closed,Low
PRJ0002,Tax Automation Platform - Q2,Marketing,In Progress,2025-02-28,,800000.0,795986.0,EMP0045,Medium,Abu Dhabi,-4014.0,False,,99.49825,Active,Medium
PRJ0003,ERP Consolidation Phase 2,Legal,Completed,2023-11-21,2024-12-16,80000.0,56981.0,EMP0405,Medium,Dubai,-23019.0,False,391.0,71.22625000000001,Closed,Low
PRJ0004,Employee Wellness App - Q1,Marketing,Completed,2024-06-09,2025-08-17,800000.0,707314.0,EMP0270,Medium,Abu Dhabi,-92686.0,False,434.0,88.41425000000001,Closed,Low
PRJ0005,Mobile Workforce App - Q4,Finance,In Progress,2023-04-25,,2000000.0,1329426.0,EMP0478,High,Ras Al Khaimah,-670574.0,False,,66.4713,Active,Medium
PRJ0006,Risk Assessment Framework Phase 2,Sustainability,In Progress,2023-09-08,,2000000.0,1438154.0,EMP0656,High,Abu Dhabi,-561846.0,False,,71.90769999999999,Active,Medium
PRJ0007,Mobile Workforce App,Finance,Completed,2022-10-17,2024-01-30,500000.0,437614.0,EMP0188,Medium,Dubai,-62386.0,False,470.0,87.5228,Closed,Low
PRJ0008,Regulatory Compliance Tool Phase 3,Finance,In Progress,2023-04-29,,200000.0,172385.0,EMP0852,Medium,Dubai,-27615.0,False,,86.19250000000001,Active,Low
PRJ0009,IoT Sensor Network,Digital,In Progress,2022-07-24,,1200000.0,1115876.0,EMP0443,High,Sharjah,-84124.0,False,,92.98966666666666,Active,Medium
PRJ0010,Energy Optimisation Platform - Q4,Procurement,In Progress,2022-07-16,,800000.0,541681.0,EMP0909,Critical,Abu Dhabi,-258319.0,False,,67.710125,Active,High
PRJ0011,Identity Management Upgrade - Q3,Marketing,Completed,2022-05-27,2023-01-19,1200000.0,1202311.0,EMP0682,Low,Sharjah,2311.0,True,237.0,100.19258333333336,Closed,High
PRJ0012,Employee Wellness App Phase 3,HR,In Progress,2022-01-04,,800000.0,919001.0,EMP0771,Medium,Dubai,119001.0,True,,114.87512499999998,Active,High
PRJ0013,HR System Upgrade Phase 3,Legal,In Progress,2024-02-26,,120000.0,102651.0,EMP0320,Medium,Dubai,-17349.0,False,,85.5425,Active,Low
PRJ0014,Tax Automation Platform Phase 3,Legal,In Progress,2024-03-26,,2000000.0,2201078.0,EMP0539,High,Abu Dhabi,201078.0,True,,110.0539,Active,High
PRJ0015,Recommendation System - Q1,Engineering,In Progress,2022-09-21,,2000000.0,1660788.0,EMP0517,Low,Dubai,-339212.0,False,,83.0394,Active,Low
PRJ0016,Energy Optimisation Platform - Q4,Engineering,In Progress,2023-06-14,,80000.0,76974.0,EMP0948,Critical,Dubai,-3026.0,False,,96.2175,Active,High
PRJ0017,IoT Sensor Network Phase 3,Sustainability,On Hold,,,150000.0,59133.0,EMP0616,High,Sharjah,-90867.0,False,,39.422,Pending,Medium
PRJ0018,Internal Audit Digitisation,HR,On Hold,2023-09-22,,150000.0,38170.0,EMP0727,High,Dubai,-111830.0,False,,25.44666666666667,Pending,Medium
PRJ0019,Supply Chain Automation Phase 3,Engineering,In Progress,2024-09-29,,1200000.0,984314.0,EMP0702,High,Abu Dhabi,-215686.0,False,,82.02616666666667,Active,Medium
PRJ0020,Mobile Workforce App,Sustainability,In Progress,2023-08-24,,500000.0,425118.0,EMP0509,Medium,Dubai,-74882.0,False,,85.0236,Active,Low
PRJ0021,Disaster Recovery Setup Phase 3,Procurement,In Progress,2024-03-22,,200000.0,141028.0,EMP0619,Low,Dubai,-58972.0,False,,70.514,Active,Low
PRJ0022,Smart Building System - Q4,Finance,In Progress,2024-07-27,,200000.0,230253.0,EMP0991,Critical,Dubai,30253.0,True,,115.1265,Active,High
PRJ0023,Workflow Automation,Data Science,In Progress,2022-03-20,,120000.0,115873.0,EMP0852,High,Sharjah,-4127.0,False,,96.56083333333332,Active,Medium
PRJ0024,Vendor Portal Phase 3,Sales,Completed,2024-05-15,2025-02-04,50000.0,35517.0,EMP0884,Medium,Dubai,-14483.0,False,265.0,71.03399999999999,Closed,Low
PRJ0025,Internal Audit Digitisation,Operations,Completed,2023-09-13,2024-09-22,2000000.0,1846989.0,EMP0939,Medium,Dubai,-153011.0,False,375.0,92.34945,Closed,Medium
PRJ0026,Asset Tracking System Phase 2,Legal,In Progress,2023-01-16,,350000.0,315328.0,EMP0058,High,Sharjah,-34672.0,False,,90.09371428571428,Active,Medium
PRJ0027,Resource Scheduling Tool Phase 3,Engineering,Completed,2022-02-08,2023-05-14,800000.0,795462.0,EMP0309,Medium,Dubai,-4538.0,False,460.0,99.43275,Closed,Medium
PRJ0028,Smart Building System,Operations,In Progress,2023-10-27,,200000.0,127646.0,EMP0327,High,Dubai,-72354.0,False,,63.82299999999999,Active,Medium
PRJ0029,Citizen Services Portal Phase 3,Sustainability,Completed,2025-02-16,2025-04-23,500000.0,402178.0,EMP0394,High,Abu Dhabi,-97822.0,False,66.0,80.4356,Closed,Medium
PRJ0030,Visual Analytics Suite Phase 2,Sustainability,Completed,2024-03-09,2024-09-15,800000.0,495487.0,EMP0661,Critical,Dubai,-304513.0,False,190.0,61.935875,Closed,High
PRJ0031,MLOps Platform,Operations,Completed,2024-12-20,2025-08-26,350000.0,271282.0,EMP0361,Medium,Dubai,-78718.0,False,249.0,77.50914285714285,Closed,Low
PRJ0032,Executive Dashboard Phase 3,Marketing,Completed,2022-02-17,2023-05-07,350000.0,326852.0,EMP0570,Critical,Abu Dhabi,-23148.0,False,444.0,93.3862857142857,Closed,High
PRJ0033,Data Lake Implementation - Q2,Marketing,On Hold,,,600000.0,99294.0,EMP0120,High,Abu Dhabi,-500706.0,False,,16.549,Pending,Medium
PRJ0034,Cloud Migration Phase 1 - Q4,HR,Completed,2024-05-06,2025-10-09,350000.0,277074.0,EMP0408,High,Dubai,-72926.0,False,521.0,79.164,Closed,Medium
PRJ0035,Resource Scheduling Tool - Q3,Operations,Not Started,,,200000.0,0.0,EMP0326,High,Abu Dhabi,-200000.0,False,,0.0,Pending,Medium
PRJ0036,Employee Wellness App Phase 3,Engineering,Completed,2023-11-16,2025-02-08,1200000.0,1192457.0,EMP0814,Critical,Abu Dhabi,-7543.0,False,450.0,99.37141666666666,Closed,High
PRJ0037,Predictive Healthcare - Q4,Legal,In Progress,2022-03-01,,200000.0,136628.0,EMP0732,Medium,Abu Dhabi,-63372.0,False,,68.314,Active,Low
PRJ0038,Workflow Automation,HR,Completed,2022-12-07,2023-11-23,1200000.0,1212741.0,EMP0418,Low,Dubai,12741.0,True,351.0,101.06175,Closed,High
PRJ0039,Predictive Healthcare Phase 2,IT,Completed,2023-05-06,2023-10-02,1200000.0,1394741.0,EMP0222,Medium,Abu Dhabi,194741.0,True,149.0,116.22841666666666,Closed,High
PRJ0040,Data Platform Modernisation - Q2,Digital,In Progress,2024-06-27,,200000.0,215610.0,EMP0536,Medium,Abu Dhabi,15610.0,True,,107.805,Active,High
PRJ0041,Disaster Recovery Setup Phase 2,Operations,Completed,2022-05-24,2022-07-26,50000.0,50460.0,EMP0457,Critical,Ajman,460.0,True,63.0,100.92000000000002,Closed,High
PRJ0042,Vendor Portal - Q1,Finance,Not Started,,,500000.0,0.0,EMP0925,High,Ajman,-500000.0,False,,0.0,Pending,Medium
PRJ0043,Sentiment Analysis Engine - Q1,Digital,Not Started,,,0.0,0.0,EMP0965,Medium,Dubai,0.0,False,,,Pending,Low
PRJ0044,IoT Sensor Network Phase 3,Legal,Completed,2024-11-13,2025-11-30,1200000.0,1028583.0,EMP0134,Low,Dubai,-171417.0,False,382.0,85.71525,Closed,Low
PRJ0045,Geo-spatial Intelligence Phase 2,HR,Completed,2023-11-27,2024-04-07,200000.0,215466.0,EMP0232,Medium,Abu Dhabi,15466.0,True,132.0,107.733,Closed,High
PRJ0046,Quality Assurance Automation - Q1,Procurement,Completed,2023-05-17,2024-08-06,350000.0,281913.0,EMP0817,Medium,Dubai,-68087.0,False,447.0,80.54657142857144,Closed,Low
PRJ0047,Quality Assurance Automation Phase 3,Marketing,In Progress,2022-10-14,,120000.0,109568.0,EMP0039,Medium,Abu Dhabi,-10432.0,False,,91.30666666666669,Active,Medium
PRJ0048,Asset Tracking System Phase 3,Procurement,In Progress,2023-09-17,,1200000.0,1233416.0,EMP0806,Medium,Dubai,33416.0,True,,102.78466666666664,Active,High
PRJ0049,Quality Assurance Automation Phase 2,Marketing,In Progress,2024-02-26,,350000.0,343720.0,EMP0041,Critical,Dubai,-6280.0,False,,98.20571428571428,Active,High
PRJ0050,Executive Dashboard Phase 3,HR,Completed,2024-11-24,2025-08-18,1200000.0,1165291.0,EMP0192,Critical,Dubai,-34709.0,False,267.0,97.10758333333334,Closed,High
PRJ0051,API Gateway Modernisation Phase 3 #51,Legal,Not Started,,,100000.0,0.0,EMP0608,Medium,Dubai,-100000.0,False,,0.0,Pending,Low
PRJ0052,Vendor Portal #52,HR,In Progress,2023-02-27,,200000.0,138010.0,EMP0719,High,Dubai,-61990.0,False,,69.00500000000001,Active,Medium
PRJ0053,Predictive Healthcare Phase 3 #53,Digital,Completed,2022-01-25,2023-05-30,2000000.0,2277761.0,EMP0877,Medium,Dubai,277761.0,True,490.0,113.88805,Closed,High
PRJ0054,Risk Assessment Framework Phase 3 #54,Sustainability,In Progress,2025-02-07,,2000000.0,2215926.0,EMP0630,Critical,Ras Al Khaimah,215926.0,True,,110.7963,Active,High
PRJ0055,Supply Chain Automation Phase 2 #55,Operations,In Progress,2023-01-10,,200000.0,147400.0,EMP0848,Medium,Abu Dhabi,-52600.0,False,,73.7,Active,Low
PRJ0056,Disaster Recovery Setup Phase 3 #56,Data Science,Completed,2022-05-11,2023-10-16,120000.0,109624.0,EMP0067,Medium,Abu Dhabi,-10376.0,False,523.0,91.35333333333332,Closed,Medium
PRJ0057,Geo-spatial Intelligence - Q4 #57,Data Science,Completed,2022-04-15,2022-11-24,80000.0,57428.0,EMP0126,Medium,Dubai,-22572.0,False,223.0,71.785,Closed,Low
PRJ0058,AI Forecasting Engine - Q2 #58,Finance,Completed,2024-05-30,2025-10-12,80000.0,82559.0,EMP0502,High,Abu Dhabi,2559.0,True,500.0,103.19875,Closed,High
PRJ0059,Smart Building System #59,Finance,Completed,2023-07-09,2024-05-16,120000.0,95662.0,EMP0564,Medium,Ras Al Khaimah,-24338.0,False,312.0,79.71833333333333,Closed,Low
PRJ0060,Customer Feedback Platform Phase 2 #60,HR,In Progress,2025-02-23,,2000000.0,1570564.0,EMP0499,Low,Dubai,-429436.0,False,,78.5282,Active,Low
PRJ0061,Employee Wellness App #61,HR,Not Started,,,200000.0,0.0,EMP0185,Medium,Dubai,-200000.0,False,,0.0,Pending,Low
PRJ0062,Resource Scheduling Tool #62,Digital,In Progress,2025-01-08,,120000.0,85938.0,EMP0119,High,Abu Dhabi,-34062.0,False,,71.615,Active,Medium
PRJ0063,Real-time Analytics Engine Phase 3 #63,Sustainability,Completed,2023-09-07,2025-02-22,200000.0,188521.0,EMP0175,Medium,Abu Dhabi,-11479.0,False,534.0,94.2605,Closed,Medium
PRJ0064,Risk Assessment Framework Phase 2 #64,Marketing,Completed,2023-10-29,2024-09-17,1200000.0,1190513.0,EMP0933,Medium,Dubai,-9487.0,False,324.0,99.20941666666668,Closed,Medium
PRJ0065,Predictive Maintenance - Q3 #65,Finance,Completed,2023-09-20,2024-05-07,500000.0,548769.0,EMP0361,Medium,Abu Dhabi,48769.0,True,230.0,109.75379999999998,Closed,High
PRJ0066,Risk Assessment Framework #66,Legal,In Progress,2024-04-17,,500000.0,493737.0,EMP0149,Critical,Dubai,-6263.0,False,,98.7474,Active,High
PRJ0067,Data Platform Modernisation Phase 2 #67,Sales,Completed,2023-08-27,2024-12-25,500000.0,307103.0,EMP0478,High,Abu Dhabi,-192897.0,False,486.0,61.4206,Closed,Medium
PRJ0068,MLOps Platform Phase 2 #68,Marketing,Completed,2023-07-16,2023-11-07,80000.0,59670.0,EMP0375,High,Sharjah,-20330.0,False,114.0,74.58749999999999,Closed,Medium
PRJ0069,API Gateway Modernisation #69,Sales,Completed,2024-09-24,2025-03-30,350000.0,417255.0,EMP0682,Medium,Abu Dhabi,67255.0,True,187.0,119.21571428571428,Closed,High
PRJ0070,Smart Building System Phase 3 #70,Sustainability,Completed,2023-08-06,2023-11-30,1200000.0,816685.0,EMP0888,Low,Ras Al Khaimah,-383315.0,False,116.0,68.05708333333334,Closed,Low
PRJ0071,Recommendation System Phase 2 #71,IT,Completed,2023-02-14,2024-01-27,80000.0,69036.0,EMP0377,High,Dubai,-10964.0,False,347.0,86.295,Closed,Medium
PRJ0072,Knowledge Management Portal #72,IT,Completed,2022-05-20,2023-10-07,500000.0,587160.0,EMP0406,Critical,Abu Dhabi,87160.0,True,505.0,117.432,Closed,High
PRJ0073,Fleet Management System Phase 3 #73,Digital,In Progress,2024-01-12,,500000.0,359695.0,EMP0832,Medium,Dubai,-140305.0,False,,71.939,Active,Low
PRJ0074,Data Platform Modernisation #74,Sales,Completed,2024-03-22,2025-07-07,1200000.0,1294629.0,EMP0989,Medium,Sharjah,94629.0,True,472.0,107.88575,Closed,High
PRJ0075,Real-time Analytics Engine #75,Marketing,Completed,2022-03-07,2023-01-19,500000.0,537041.0,EMP0570,Medium,Abu Dhabi,37041.0,True,318.0,107.4082,Closed,High
PRJ0076,Customer Portal Redesign #76,Sustainability,Completed,2024-12-25,2025-05-15,2000000.0,2215559.0,EMP0099,High,Dubai,215559.0,True,141.0,110.77795,Closed,High
